epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,19280.7,1.13037,0.43523,0.00645,0.94881,0.8987,0.96091,0.67887,1.09985,0.47981,0.00774,0.00019122,6.374e-05,0.00019122,6.374e-05,0.00019122,6.374e-05,0.00019122,6.374e-05
39,19783.7,1.12814,0.43401,0.00642,0.95238,0.90026,0.96285,0.67851,1.10282,0.47127,0.00777,0.00018828,6.276e-05,0.00018828,6.276e-05,0.00018828,6.276e-05,0.00018828,6.276e-05
40,20286.9,1.12921,0.43315,0.00644,0.94804,0.90267,0.96091,0.67507,1.10756,0.47583,0.00782,0.00018534,6.178e-05,0.00018534,6.178e-05,0.00018534,6.178e-05,0.00018534,6.178e-05
41,20790.3,1.12659,0.43433,0.00644,0.9501,0.89906,0.96042,0.67672,1.1048,0.48189,0.00781,0.0001824,6.08e-05,0.0001824,6.08e-05,0.0001824,6.08e-05,0.0001824,6.08e-05
42,21293.2,1.12552,0.43455,0.00642,0.94451,0.89737,0.95575,0.67561,1.10578,0.48475,0.00783,0.00017946,5.982e-05,0.00017946,5.982e-05,0.00017946,5.982e-05,0.00017946,5.982e-05
43,21795.8,1.12525,0.43272,0.00647,0.94425,0.8987,0.96011,0.67693,1.10192,0.48151,0.0078,0.00017652,5.884e-05,0.00017652,5.884e-05,0.00017652,5.884e-05,0.00017652,5.884e-05
44,22298.9,1.13222,0.43613,0.00643,0.95017,0.89304,0.96002,0.67779,1.09851,0.48402,0.00776,0.00017358,5.786e-05,0.00017358,5.786e-05,0.00017358,5.786e-05,0.00017358,5.786e-05
45,22802.2,1.12358,0.42854,0.0064,0.94674,0.89786,0.96007,0.6778,1.09762,0.48361,0.00774,0.00017064,5.688e-05,0.00017064,5.688e-05,0.00017064,5.688e-05,0.00017064,5.688e-05
46,23305.1,1.1239,0.43353,0.00642,0.94574,0.89798,0.95999,0.67827,1.09594,0.48453,0.00773,0.0001677,5.59e-05,0.0001677,5.59e-05,0.0001677,5.59e-05,0.0001677,5.59e-05
47,23808.3,1.12021,0.4289,0.00639,0.94594,0.89725,0.95904,0.67783,1.09773,0.48457,0.00774,0.00016476,5.492e-05,0.00016476,5.492e-05,0.00016476,5.492e-05,0.00016476,5.492e-05
